text_en,text_ky
Miss Squirrel was still chasing Matilda though and did not notice that she had left the little ones behind.,"Мисс Сүзгүч Матильданы кууп, балдарды артында калтырып кеткенин байкаган жок." 
"Rachel Rabbit, Wendy Weasel and Ralph Racoon all held paws as they looked around them.","Рейчел Коён, Венди Илбирс жана Ральф Енот колдорун кармашып, айланасын карашты." 
Three very small friends.,Бул үчөө кичинекей дос эле.
And Hank.,Ал эми Хэнк жалгыз эле.
The only noise now in the woods was silence.,"Токойдо эч кандай үндү укпай, баары тым-тырс болуп калды."
"Suddenly, everyone got a fright as behind them Matilda mouse jumped from behind a berry-bush and shouted “BOO!” as loudly as she could.","Капыстан, арткы жагынан Матильда Чычкан карагат түбүнөн “БУУ!” деп кыйкырганда, баары селт этти." 
"After they all had stopped shaking, her friends laughed.","Баары ордуна келип, анын достору күлүп калды."
All except Hank.","Баары эмес, Хэнк гана."
"“Silly Hank,” said Matilda.","Акылсыз Хэнк, – деди Матильда." 
“You are just no fun!”,Сен эч качан кызыктуу эмессиң! 
"However, before Hank could reply, another noise made everyone turn around.","Бирок Хэнк жооп бергенге үлгүргөнчө, дагы бир үн угулду."
This time though there was no Boo!,"Бул жолу болсо, Бу! деген үн чыккан жок."
of surprise and no laughter afterwards because there before the class was a very large and very hungry snake.,"Бул жолу эч кандай сюрприз кыйкырыгы болбоду, анткени алардын алдында чоң жана ач жылан пайда болду." 
His magical eyes twinkling with delight as his tongue spiked forward.,"Жылан балдарды көрүп, көздөрү жаркырап, тилин сунду:"
“Mmmm!!,Мммм!! 
Lunchtime.” said the snake.,"Түшкү тамак, – деди ал."
It was at this point that the class realised that Miss Squirrel had not returned from chasing Matilda.,"Мисс Сүзгүч дале Матильданы кууп жетпей, класс жалгыз калды." 
The class was alone.,Балдардын оозунан коркунучтуу үн чыкты. 
Squeaks of fright squeezed out of the little animals’ mouths.,"Кичинекей жаныбарлардын ооздорунан корккондугунан чыйылдаган үндөр чыгып жатты." 
Matilda and her friends all hugged each other fearing that this was the end.,"Матильда жана анын достору кучакташып, бул алардын акыркы мүнөттөрү деп ойлошту." 
"Suddenly though, Hank was scared no more.","Бирок Хэнк эми коркууну токтотту." 
He found a way to save the class.,Ал классты сактап калуунун жолун ойлоп тапты. 
He knew just what he had to do.,Ал так эмне кылыш керек экенин билди. 
“Quick everyone- down this hole.” he shouted as he pointed to a hole under a hanging chestnut Tree.,"Тез! Баарыңар бул тешикке киргиле! деп кыйкырды ал, каштан дарагынын алдындагы тешикти көрсөтүп." 
The animals stared at him and then jumped down the hole.,"Жаныбарлар ага карап туруп, тешикке кирип кетишти."
Hank followed only to be stopped by Matilda who looked very angry.,"Хэнк артынан кирүүгө камынып жатканда, Матильда аны токтотуп, ачууланган түрдө:" 
"“Hank, we are trapped now- you foolish hog.”","Хэнк, биз эми тутулуп калдык сен акылсыз кирписиң, – деди." 
"But before she could add to her insult, Hank jumped up and flipped himself into a ball.","Бирок ал сөзүн бүтүргөнчө, Хэнк секирип, тоголонуп, тикендүү топ болуп калды." 
"Next, he rolled towards the mouth of the hole and blocked it with his pointy sharp spikes.","Андан соң оонап барып, тешиктин оозун жапты." 
There would be no lunch for the snake today!,Бүгүн жыланга тамак жок болчу! 
"Later, back at school, Miss Squirrel was telling the head teacher, Mr Owl, about what had happened and how the snake had fled Hank’s pointy spikes.","Кийин мектепке кайтып келишкенде, Мисс Сүзгүч директор Мырза Бүбүгага болгон окуяны айтып берип жатты." 
"After the snake had slithered away, the class had quickly returned to school and each one had thanked their new friend Hank.","Класс тез эле мектепке кайтып келди жана баары жаңы досу Хэнкке ыраазычылык билдиришти." 
Matilda gave him a big hug and apologised for what she had called him before.,"Матильда аны бекем кучактап, буга чейин айткан сөздөрү үчүн кечирим сурады." 
"Hank was not odd, he was a hero and her new best friend.","Хэнк анча-мынча эмес, баатыр болуп чыкты жана Матильданын жаңы эң жакын досу болду." 
"Hank, who was still unused to lots of attention, turned pink and popped into a ball as all his new friends cheered him.","Көңүл буруудан көнбөгөн Хэнк кызарып, топ болуп тоголонуп алды, ошол эле учурда бардык жаңы достору аны кол чаап кубатташты."

(book6)
Deep in the New Forest where no big people ever went there was a tiny little magical village called the Ordon Gardens.,"Жаңы Токойдун тереңинде, чоң адамдар эч качан барбаган жерде, кичинекей гана сыйкырдуу айыл - Ордон Бакчалары бар болчу." 
"Here, three little tooth fairies named Incisor, Canine and Molar were busy at work in their factory.","Бул айылда үч кичинекей тиш периси – Инсайзор, Канайн жана Молар – өздөрүнүн фабрикасында тынымсыз иштеп жатышты."
The three tooth fairies were all named after types of teeth.,"Бул тиш перилери ар бири тиш түрлөрүнүн атынан аталып, Инсайзор узун, арык жана кыска кызгылт чачтуу эле."
"Incisor was tall and skinny with short pink hair, Canine was also tall with blue hair and Molar was the short, wise one with curly, silver locks.","Канайн да узун бойлуу, бирок көк чачтуу болчу, ал эми Молар кыска бойлуу, акылдуу жана күмүш сымал толкундуу чачы бар болчу."
All day long the busy little fairies cleaned and shined the children’s milk teeth they had collected during the night.,"Күндүн узунунда бул тынчы жок кичинекей перилер түндө чогултуп келген балдардын сүт тиштерин тазалап, жалтыратып жатышты."
The milk teeth were used to make very useful things in the Ordon Gardens like roads in the village and furniture in the homes for the little fairies.,"Бул тиштер Ордон Бакчаларында өтө пайдалуу буюмдарга айландырылчу, мисалы, айылдагы жолдорго жана перилердин үйлөрүндөгү эмеректерге колдонулчу."
One day Incisor realised that the teeth coming into the cleaning factory were not as strong as they used be.,Бир күнү Инсайзор фабрикага келген тиштер мурункулардай күчтүү эместигин байкады.
"“Oh dear!” said Incisor “These teeth are fragile and brittle, with holes and black spots.","Ой, тобо! деди Инсайзор. Бул тиштер морт жана алсыз, тешиктери жана кара тактары бар экен. "
"They crumble as soon as I try to polish them with my cloth.,Мен аларды чүпүрөк менен жалтыратууга аракет кылсам эле урап калат.
Whatever are we to do?”,Эмне кылмак элек?
“Yes.”said Canine,"Ооба, деди Канайн."
"“I know exactly what’s wrong, The children are beginning to eat far too many sweets and are not looking after their teeth at all.”","Мен мунун себебин так билем. Балдар өтө көп таттууларды жеп, тиштерин такыр карабай калышты."
“I know…we can fix it!”,Мен билем...Биз муну оңдой алабыз!
Said Molar the wise one.,деди акылдуу Молар.
She sounded quite excited by her grand idea.,Ал өзүнүн укмуш идеясына толкундангандай болду.
The three fairies looked at each other and waited while Molar explained all.,"Үч перинин бири-бирин карап, Молардын түшүндүрмөсүн күткөнү калды."
"As usual, it was a fabulous idea.","Адаттагыдай эле, анын ою сонун болду."
The three of them wasted no time at all and got to work straight away.,"Алар эч убакытты текке кетирбей, дароо ишке киришти."
"That night, it was Canine’s turn to fly off and collect all the milk teeth from under the sleeping children’s pillow.","Түндө тиштерди чогултууга Канайн кезекчи болду." 
"Off she flew with a bag of coins, some white berry sandwiches for her lunch and a pack of cards which the three fairies had spent all afternoon preparing.","Ал балдардын жаздыгынын астындагы сүт тиштерин алмаштырып кетүү үчүн тыйындар салынган баштык, түшкү тамакка ак булочкадан жасалган сэндвичтер жана күн бою даярдашкан атайын карталарды алып учуп жөнөдү." 
It was such a treat to leave the forest and see the city skyline but it was a dangerous place for fairies.,"Токойдон чыгып, шаарды көрүү – бул анын сүйүктүү иши болчу, бирок шаар феялар үчүн коркунучтуу эле."
Canine had to make sure that the big people never saw her.,Канайнды чоң адамдар көрүп калбашы керек эле.
She flew through the starry sky and saw the wonderful city fast asleep.,"Ал жылдыздуу асмандын ортосунда учуп, уктап жаткан сонун шаарды карап жатты."
Her first stop was a young boy named Junior.,Анын биринчи токтогон жери Жуниор аттуу кичинекей бала болду.
Earlier in the night Junior and his mum had placed his milk tooth under the pillow.,Кечинде Жуниор апасы менен сүт тишин жаздыгынын алдына койгон эле.
Mummy tucked Junior into bed and told him all about the tooth fairy who would leave some money in exchange for his tooth.,"Апасы аны төшөккө жаткырып, тиш периси тиши үчүн акча калтырып кетерин айтып берген." 
"She gave him a goodnight kiss and left him to fall asleep. By the time Canine arrived, Junior was fast asleep.","Анан Жуниорго жакшы түн тилеп, уктап калсын деп бөлмөдөн чыгып кеткен." 
She flew in through the top window that was ajar and glided quickly down to Junior’s pillow.,Канайн келгенде Жуниор катуу уктап жаткан. 
She perched beside him and braced herself in preparation for the task… “Heave……..” she lifted the pillow and wedged herself between the pillow and the bed.,"Ал жарым-жартылай ачылган терезеден кирип, Жуниордун жаздыгына жакын учуп барды." 
She quickly grabbed the tooth and tossed it over to her backpack.,"Жаздыктын жанына конуп, жаздыкты көтөрүүгө даярданды."
She placed two coins and the fairy’s special card in exchange under the pillow and flew off into the night sky to find more milk teeth.,"Жааа-а-а-а-а! деп күчөнүп, жаздыкты көтөрүп, төшөк менен жаздыктын ортосуна сыят."
"In the morning, as soon as Junior woke up, he rummaged under the pillow to see if the tooth fairy had left any money for him.","Ал тишти ылдамдык менен рюкзагына ыргытып, ордуна эки тыйын жана перинин атайын картасын коюп, түнкү асманга учуп кетти." 
He was thrilled to find the coins but looked blankly at the card he found in his hand.,"Эртеси Жуниор ойгонуп, жаздыгынын астын карады."
Mummy didn’t mention anything about a card…he wondered. He read the card out aloud…,Апасы карта тууралуу айткан эмес эле… 
The Tooth Fairy’s guide to healthy teeth:,Тиш перисинин ден соолук тизмеси: 
1.Eat Healthy.,1. Дени сак тамактарды жегиле. 
2.Cut down on sugary sweets & drinks.,2. Таттуулар менен ширелерди азайткыла. 
3.Brush your teeth twice a day.,3. Күндөн эки жолу тиш жуугула.
4.Use a fluoride toothpaste.,4. Фтор кошулган тиш пастасын колдонгула. 
5.Visit the Dentist regularly.,5. Дарыгерге байма-бай барып тургула. 
"Back in the village of Ordon Gardens, the fairies were very happy about the new information card they were giving to the children.","Ордон Бакчаларындагы айылда перилер бул жаңы маалымат картасын таратканына өтө кубанышчу." 
Soon enough the milk teeth coming into the factory were strong and healthy again.,"Көп өтпөй, фабрикага келип жаткан сүт тиштер кайрадан бекем жана ден соолукта болуп калды."

(book7)
I am Hammy the Hamster.,Мен – Хэмми деген хомякмын.
"I live with my mother Henrietta, my father Harry, my sister Hachi, and my brother Hal.","Мен апам Генриетта, атам Гарри, карындашым Хачи жана агам Хал менен чогуу жашайм."
We live in South America and you can’t miss our home.,"Биз Түштүк Америкада жашайбыз, жана биздин үйдү дароо тааныйсыңар."
It is the burrow under the trees that look like the letter H.,Ал – "H" тамгасына окшогон бактардын алдындагы коңул.
"When we are out during the day, we are very careful so we aren’t caught.","Күндүз сыртта жүргөндө абайлайбыз, анткени кармалып, кимдир бирөөнүн үй жаныбары болуп калуу коркунучу бар."
We might get trapped and become someone’s pet.,Ошондуктан негизинен түнкүсүн чыгабыз.
So we are mostly out after dark.,Биз уруктарды жана жемиштерди жегенди жакшы көрөбүз жана аларды үйгө капчыгыбызда ташып келебиз.
We like to eat seeds and fruit and can carry it back home in our pouches.,Биздин жаактарыбызда азык-түлүк баштыгы сыяктуу кап бар.
Our cheeks have built in shopping bags.,"Силердей эле, биз дагы оюн ойноп, көңүл ачканды жактырабыз."
"Just like you, we like to play and have fun.","Жарыкка чуркап, жалбырактарга түшкөн көлөкөбүздү кубалап ойногонду жакшы көрөбүз."
We have fun running into the light and chasing our shadows on the leaves.,"Биз жарыкка чуркап, жалбырактардагы көлөкөбүздү кубалап ойногонду жактырабыз."
Last night Hachi and I found this thing.,Кечээ түнү Хачи экөөбүз бир кызыктай нерсе таптык.
"When you pushed a button, it lit up like the sun.","Анын баскычы бар экен, бассаң, күн сыяктуу жарык берет."
We like to climb things and explore.,"Биз дагы ар кайсы нерселерге чыгып, изилдегенди жактырабыз."
"Our cousins Lester, Larry, and Lorain live in the city.","Биздин туугандарыбыз Лестер, Ларри жана Лорейн шаарда жашайт."
They are someone’s pet.,Алар кимдир бирөөнүн үй жаныбары.
They sent us this picture and said they had a lot of fun but missed playing with us.,"Алар бизге сүрөт жөнөтүп, биз менен ойногонду сагынышканын айтышты."
Lester said he liked people.,Лестер адамдарды жакшы көрөрүн айтты.
He always had food and water and lots of toys to play with.,"Ал дайыма тамак-ашы, суусу жана оюнчуктары бар экенин айтты."
"He even likes to take a ride in the pocket of his people friend, Billy.","Ал тургай досу Биллинин чөнтөгүндө сейилдегенди да жакшы көрөт экен."
I might be your pet some day.,Мен бир күнү сенин үй жаныбарың болуп калышым мүмкүн. 
"If I ever become your pet, I hope you take good care of me because I will do all I can to be your friend.","Эгер сенин үй жаныбарың болуп калсам, менин жакшы кам көрүшүңдү каалайм, анткени мен колумдан келгендин баарын кылып, сенин эң жакын досуң болууга аракет кылам." 
Adios Amigos.,"Адьос, достор!"

(book8)
"“Now this looks like a very interesting case,” Detective Peterson said aloud, as she reviewed the huge stack of reports on her desk.","«Бул өтө кызыктуу ишке окшойт», – деди Детектив Петерсон үн чыгарып, иш столундагы көптөгөн отчетторду карап жатып."
“I think I will handle this one myself.”,«Муну өзүм эле карап көрөйүн».
"After several minutes of searching through the official Tooth Fairy records, she found what she was looking for.","Бир нече мүнөттөн кийин расмий Тиш Периси архивдерин аңтарып жатып, керектүү папканы тапты."
A folder with the name ‘Sophia Sue Simmons’.,Анда «София Сью Симмонс» деген ысым жазылган болчу. 
"“Hmm,” Detective Peterson mumbled as she studied the file.","«Хмм», – деди Детектив Петерсон өзүнчө, файлды окуп жатып."
"As Detective Peterson read the report, she noted that Sophia Sue always smiled.","Документте София Сью дайыма жылмаяры жазылган эле."
"From the time she got out of bed to the time she went back to bed, she smiled.","Төшөктөн турган учурдан баштап кайра төшөккө жаткыча жылмайып жүрчү экен."
"In fact, Sophia Sue never seemed to stop smiling.","Чынында, София Сью эч качан жылмаюуну токтотпогондой сезилчү."
"Then, two days ago, Sophia Sue stopped smiling.","Бирок эки күн мурда ал жылмаюуну токтотуптур."
“Why?”,«Эмнеге?»
Detective Peterson wondered.,– деп таң калды Детектив Петерсон.
"“I must find out why and get Sophia Sue’s smile back,” she said to herself.","«Мен муну сөзсүз билишим керек жана анын жылмаюусун кайра кайтаруум зарыл»,– деп өзүнө шыбырады."
She searched through the file but couldn’t find anything that could have caused Sophia Sue to stop smiling all of a sudden.,"Ал документти кылдат карап чыкты, бирок София Сьюнун жылмаюусун капысынан токтотууга себеп болчу эч нерсе таба алган жок."
Was she happy at home?,Үйүндө бактылуубу?
The Smile-O-Meter indicated “yes.”,Күлкү-Өлчөгүч «ооба» деп көрсөттү. 
Was she happy at school?,Мектепте бактылуубу?
The Smile-O-Meter indicated “yes.”,"Күлкү-Өлчөгүч кайра «ооба» деп көрсөттү."
Was she happy with her friends?,Достору менен бактылуубу?
The Smile-O-Meter indicated “yes.”,Жооп дагы эле «ооба».
Everything that Detective Peterson found indicated that Sophia Sue was happy and that she should be smiling.,Детектив Петерсон тапкан бардык нерсе София Сьюнун бактылуу экенин жана жылмайышы керектигин көрсөттү.
The Detective checked with the dentist and everything was fine.,Ал тиш дарыгерине кайрылды – баары жайында болчу. 
The Detective checked with Tooth Fairy Central.,Тиш Периси Борборуна да кайрылды.
"All of Sophia Sue’s baby teeth had fallen out, been collected as scheduled, and replaced with new, extremely pretty, permanent teeth.","София Сьюнун бардык сүт тиштери график боюнча түшүп, чогултулган жана алар жаңы, кооз, туруктуу тиштер менен алмаштырылган экен."
Detective Peterson checked everything but she couldn’t find anything that could cause Sophia Sue to stop smiling.,"Детектив баарын текшерди, бирок София Сьюнун жылмайбай калышына себеп боло турган эч нерсе тапкан жок."
There was only one choice left.,Жалгыз жол калды.
Detective Peterson had to visit Sophia Sue and see what she could do.,Детектив Петерсон София Сьюга өзү барып көрүүгө аргасыз болду.
That night Detective Peterson flew down and visited Sophia Sue.,"Түн ичинде Детектив Петерсон учуп барып, София Сьюнун үйүнө кирди."
"Making sure that she didn’t wake Sophia Sue, she sprinkled magical Tooth Fairy sand into the air.",Аны ойготпой этияттык менен сыйкырдуу Тиш Периси кумун абага себеледи.
“Sophia Sue.”,«София Сью»,
Detective Peterson whispered.,– деп шыбырады Детектив.
“What happened to your beautiful smile?,«Кайда жоголду сенин сулуу жылмаюуң? 
You look so sad.”,Сен абдан кайгылуу көрүнүп жатасың».
"“I lost all my baby teeth,” she whispered.","«Мен бардык сүт тиштеримди жоготтум»,– деп шыбырады София Сью."
“Now the Tooth Fairy doesn’t have any reason to visit me.”,«Эми Тиш Периси мага келүүгө себеп таппайт». 
"“Oh! I understand,” Detective Peterson whispered between smiling lips.","«Оо, түшүндүм»,– деди Детектив Петерсон, жылмайып."
“The Tooth Fairy will always be in your heart so you can wipe that silly frown off your pretty face.”,"«Тиш Периси ар дайым сенин жүрөгүңдө болот, ошондуктан бул кыжырды келтирген кабагыңды жаап, кооз жүзүңө кайра жылмаюу алып кел». "
"As Detective Peterson flew away from Sophia Sue’s bedside, she saw the smile return - bigger and brighter than ever before.","Детектив Петерсон София Сьюнун төшөгүнүн жанынан учуп кетип бара жатып, анын жылмаюусу кайтып келгенин көрдү – мурункуга караганда чоңураак жана жаркыраган жылмаюу!"

(book9)
"When Jamal opened the door, his mother could tell something was wrong.","Жамал эшикти ачканда, апасы бир нерсе болгонун дароо түшүндү."
He looked like he was going to cry.,Ал ыйлап жиберчүдөй көрүнүп турду.
"“Jamal, what is the matter?” his mother asked. “","Жамал, эмне болду?” — деп сурады апасы."
HOMEWORK!” he shouted.,"ҮЙ ТАПШЫРМА! — деп кыйкырды ал."
“Homework !,Үй тапшырма!
Yuck!,Фуу!
I will not do any more homework.”,Мен мындан ары эч кандай үй тапшырма жасабайм.
"Now, Jamal’s mother was quite concerned.","Бул сөздөр апасын абдан кабатырлантты."
She had never heard Jamal talk like that and she had no idea that he didn’t like doing his homework.,Ал буга чейин Жамалдын мындай сүйлөгөнүн угуп көргөн эмес жана анын үй тапшырмасын жактырбаганына таң калды.
"In fact, each time she asked Jamal if he had done his homework, he would always answer “yes”.","Чынында, ар дайым апасы үй тапшырма жасадыбы деп сураганда, Жамал дайыма “ооба” деп жооп берчү."
"“My teacher wants to meet with you,” Jamal said.","Мугалимиң мен менен жолугушууну каалайт”, — деди Жамал."
"“That’s fine,” his mother said.","Жарайт, — деди апасы."
"“But I would like to talk to you before we meet with your teacher.,Бирок мугалимиң менен жолукканга чейин сен менен сүйлөшкүм келет.
"I think now is the perfect time,” Jamal and his mother talked for a long time and all the while his mother was writing things down.","Жамал менен апасы узакка сүйлөштү.Апасы бир нерселерди жазып жатты."
Jamal chuckled to himself as she wrote.,Азыр мына ошол учур.
"It was as if she was doing homework, and do you know what?","Жамал ичинен күлүп койду, анткени апасы тапшырма жасап жаткандай көрүнүп жатты"
"She was. ,"Чынында, апасы чын эле тапшырма жасап жаткан эле."
"Then his mother said, “Jamal, now that we are done"," Жамал, эми сүйлөшүп бүттүк." 
I want you to do the best you can on your homework tonight.","Бүгүн кечинде үй тапшырмаңды колуңдан келгенче мыкты аткар."
Tomorrow morning we will go to school together.”,Эртең эртең менен мектепке чогуу барабыз.
"Jamal agreed and his mother continued with her homework.","Жамал макул болду, ал эми апасы тапшырмасын улантты."
"The next day Jamal, his mother, and his teacher met before school started.","Эртеси күнү Жамал, апасы жана мугалими мектеп башталганга чейин жолугушушту."
Jamal was frightened.,Жамал абдан коркуп турду.
He didn’t know what to expect and it was all his fault for not doing his homework.,Ал эмне болоорун билген жок жана бул анын үй тапшырмасын жасабагандыгы үчүн өзүнүн күнөөсү экенин түшүнүп турду.
“Homework!,Үй тапшырма!
Yuck!” he mumbled to himself.,Фуу! — деп өзүнчө күбүрөндү.
"“I heard that,” his teacher said.","Уктум, — деди мугалими."
"Then his mother spoke, “Jamal and I discussed the situation last night and I assure you he will be doing his homework in the future.","Андан кийин апасы сөз баштады:Жамал экөөбүз кечээ кечинде абалды талкууладык, жана ал мындан ары үй тапшырмасын аткарып турмакчы."
"I also think you need to listen to his reasons.,Бирок мен анын жүйөлөрүн угушуңузду каалайм.
"They are reasons, and not excuses.","Алар жөн гана шылтоо эмес, жүйө."
Please let Jamal explain to you as he did to me.”,"Сураныч, ал мага айтканын сизге да түшүндүрүп берсин."
"Well, Jamal was really frightened now.","Эми Жамал абдан коркуп калды."
He had to talk to the teacher and tell her why he didn’t do his homework.,Ал мугалимге эмне үчүн тапшырмаларын жасабаганын айтып бериши керек эле.
"Jamal thought for a moment, took a deep breath, and began talking.","Ал бир аз ойлонуп, терең дем алып, сүйлөй баштады: "
“I need time to have some fun.,Менин көңүл ачууга убактым жок.
I spend all day in school and then my teachers want me to spend the rest of the day doing homework.”,"Күн бою мектепте болом, анан мугалимдер калган убактымды да үй тапшырмага коротушумду каалашат."
"“I like to spend time with my mother, brother, and sister.","Мен апам, иним жана карындашым менен убакыт өткөрүүнү жактырам."
I also have to do my chores and help my mom since my dad doesn’t live with us.”,"Ошондой эле үй иштерине жардам беришим керек, анткени атам биз менен жашабайт."
"“When I really try to do my homework, it takes too long and I can’t help my mom.","Үй тапшырмаларын кылып көргөндө, алар көп убакыт алат, ошондо апама жардам бере албай калам."
I know this makes her sad and sometimes angry.”,Бул аны кайгыртат же ачууландырат.
“Sometimes I get so much homework I have to copy some of it from my friends.,"Кээде тапшырмалар ошончо көп болот, досторумдан көчүрүүгө туура келет."
"I know that is cheating, but I want to turn something in.”","Бул туура эмес экенин билем, бирок жок дегенде бир нерсе тапшырайын деп жатам."
“When I have done my homework it takes so long to get it back that I can’t learn from it.,"Кээде тапшырмаларды тапшырам, бирок аларды кайра алып, үйрөнүүгө мүмкүнчүлүк жаралганга чейин мугалимдер башка нерсе үйрөтүп башташат."
"Meanwhile, you are teaching something else. I just get lost.” Jamal’s teacher thought for a moment and then said: “I never realized you were so smart.","Мугалими бир аз ойлонуп, анан мындай деди:Сенин акылдуу экениңди түшүнгөн эмесмин."
You have made some very good points and I need to consider them.,"Сен абдан маанилүү нерселерди айттың, муну ойлонуп чыгышым керек."
"In fact, all the teachers need to hear them.","Чынында, бардык мугалимдер муну билиши керек."
I will consider your comments before I assign homework in the future.,Мындан ары үй тапшырма берерден мурун сенин комментарийлериңди эске алам.
I would like you to talk to all the teachers.,Анан мен адашып калам.
Will you do that?”,Баарына түшүндүрүп берүүгө даярсыңбы? 
"Jamal agreed and he spoke to all the teachers, parents, and students at the school’s next Open House.","Жамал макул болду.Ал мектептеги ачык эшик күнү мугалимдерге, ата-энелерге жана окуучуларга өзүнүн ойлорун айтты."
He was frightened but he made excellent points.,"Ал коркуп турду, бирок абдан жакшы жүйөлөрдү келтирди."
"In fact, the school changed the way they assigned homework.",Мектеп үй тапшырмаларды берүү системасын өзгөрттү. 
It was easier on the students and they were able to complete it and learn.,"Окуучуларга тапшырмаларды бүтүрүп, үйрөнүүгө жеңил болду."
They also had some time to play and spend time with their families.,"Ошондой эле, алар ойноп, үй-бүлөсү менен убакыт өткөрүүгө да убакыт тапты."
"Now, Jamal does his homework and actually looks forward to doing it.","Эми Жамал үй тапшырмасын жасап, аны кызыгуу менен күтө баштады." 
Now his mother doesn’t have to ask if it is done.,Апасы мындан ары анын тапшырмасы бүткөн-бүткөн эместигин сурабайт.

(book10)
Princess Aura always has the best birthday parties and this year friends from all over the galaxy were heading to her planet to enjoy the celebrations.,"Принцесса Аура ар дайым эң мыкты туулган күн кечелерин өткөрчү, ал эми бул жылы галактика боюнча достору анын планетасына майрамды белгилөөгө чогулушту."
Captain Fantastic and his wonder dog Winston had picked the perfect present for their inspiring friend.,"Капитан Фантастик жана анын кереметтүү ити Винстон өздөрүнүн дем берген досу үчүн эң сонун белекти тандап алышкан."
"However, Captain Fantastic’s arch nemesis, the evil Doctor Zob was determined that there would be no birthday cake for the pair at the end of this trip.","Бирок, Капитан Фантастиктин башкы душманы, зөөкүр Доктор Зоб, бул сапардын аягында аларга туулган күн тортунан ырахат алууга жол бербейм деп чечкен эле."
"The Rocketship stood proudly on the launch pad ready for takeoff.","Ракета учууга даяр болуп, аянтта сыймык менен турду."
"Captain Fantastic had just finished loading Princess Aura’s awkwardly long birthday present.","Капитан Фантастик Принцесса Аурага арналган узун, ыңгайсыз белекти жүктөп бүттү."
"“That’s it, Winston.” he said patting his faithful dog.","Болду, Винстон, — деди ал ишенимдүү итинин башын сылап."
“Now I just need to go and return all this wrapping paper.”and he headed towards the hanger while untangling himself from all the super sticky tape he’d used to wrap up the gift.,"Эми бул кагаздарды кайра койгону барам, — деп супер жабышкак тасмадан бошонууга аракет кылып, ангарга жөнөдү."
Winston gave a happy bark and off Captain Fantastic went into the space hanger.,"Винстон кубанычтуу үрүп койду, ал эми Капитан Фантастик ангарга кирип кетти."
As Winston returned to the spaceship he thought he saw someone walking away from their Rocket Ship.,"Винстон кайра ракетага кайтып келгенде, ракетага жакын басып бараткан бирөөнү көрдү."
He looked familiar; was that Doctor Zob?,"Ал ким? Доктор Зоб эмеспи?"
"Later, in the ship all systems were go.","Көп өтпөй кемеде бардык системалар даяр болду."
"Lights blinked, screens lit up and Captain Fantastic and Winston were strapped in ready to go. “5,4,3,2,1, Blast Off and away we go.” shouted Captain Fantastic, a big grin on his face whenever he headed back out into space.","Чырактар жаркырап күйүп, экрандар жанды.Капитан Фантастик жана Винстон орундукка бекем байланганда, Капитан: — 5, 4, 3, 2, 1, учуу! — деп кыйкырды.Космосту кыдыруу анын жүзүнө ар дайым күлкү тартуулачу."
Today Winston only gave a little whimper though; what was that Doctor Zobup to?,Бүгүн болсо Винстон кичине гана кыңшылады.Ал Доктор Зобдун эмнени ойлоп тапканын билип турду.
"On Doctor Zob’s great black ship however, there was only laughter, the kind only an evil genius can produce; deep from the stomach and exploding from the mouth.","Доктор Зобдун кара кемесинде катуу күлкү жаңырды:
"“Good luck Captain Fantastic, enjoy your ride.”","Ийгилик, Капитан Фантастик, учууңдан ырахат ал!"
"Both ships were now busy with the sound of song: “Roaring in our Rocket, flying really fast, Being in a spaceship is a blast blast blast!” sang Captain Fantastic.","Эки кемеде тең ырлар жаңырып жатты.Капитан Фантастик ырдады: — «Ракета менен учаарыбыз, космосто шашылабыз, Космосту кыдыруу чынында сонун нерсе!»"
While on the dark ship of Zob his creepy chorus rang out: “My mean machine is in the socket. It will make the Captain Fluster.,"Доктор Зоб болсо: — «Магнит күчү жолуң бузат, Акылсыз кометаларга сени алып барат!» — деп ырдады."
"Magnetic power will route his rocket To the Crazy Comet Cluster” “Not long now, Winston.","Бир кезде Винстон экранды карап, кеменин Жинди Кометалар Кластери деп аталган жерге багыт алганын көрдү."
